"State","District","Crop","Season","Yield-2015-16","Yield-2016-17","Yield-2017-18"
"Odisha","Boudh","Cereals","Summer","2000.00","3429.00","3519.00"
"Odisha","Boudh","Cereals","Total","934.00","3095.00","1842.00"
"Odisha","Boudh","Urad","Kharif","","528.00","433.00"
"Odisha","Boudh","Urad","Rabi","184.00","293.00","283.00"
"Odisha","Boudh","Urad","Summer","","560.00","200.00"
"Odisha","Boudh","Urad","Total","184.00","315.00","286.00"
"Odisha","Boudh","Moong","Kharif","182.00","331.00","379.00"
"Odisha","Boudh","Moong","Rabi","186.00","283.00","244.00"
"Odisha","Boudh","Moong","Summer","176.00","297.00","213.00"
"Odisha","Boudh","Moong","Total","180.00","297.00","255.00"
"Odisha","Boudh","Other Pulses","Rabi","161.00","324.00","370.00"
"Odisha","Boudh","Other Pulses","Total","161.00","324.00","370.00"
"Odisha","Boudh","Total Pulses","Total","172.00","307.00","299.00"
"Odisha","Boudh","Total Food Grains","Kharif","584.00","1709.00","980.00"
"Odisha","Boudh","Total Food Grains","Rabi","926.00","2934.00","1822.00"
"Odisha","Boudh","Total Food Grains","Summer","1231.00","1810.00","2016.00"
"Odisha","Boudh","Total Food Grains","Total","905.00","2808.00","1767.00"
"Odisha","Cuttack","Rice","Kharif","1500.00","1793.00","1024.00"
"Odisha","Cuttack","Rice","Rabi","2025.00","3342.00","2220.00"
"Odisha","Cuttack","Rice","Summer","2000.00","3413.00","2829.00"
"Odisha","Cuttack","Rice","Total","2017.00","3320.00","2199.00"
"Odisha","Cuttack","Maize","Rabi","700.00","",""
"Odisha","Cuttack","Maize","Total","700.00","",""
"Odisha","Cuttack","Nutri/Coarse Cereals","Rabi","700.00","",""
"Odisha","Cuttack","Nutri/Coarse Cereals","Total","700.00","",""
"Odisha","Cuttack","Cereals","Kharif","1500.00","1793.00","1024.00"
"Odisha","Cuttack","Cereals","Rabi","2025.00","3342.00","2220.00"
"Odisha","Cuttack","Cereals","Summer","2000.00","3413.00","2829.00"
"Odisha","Cuttack","Cereals","Total","2016.00","3320.00","2199.00"
"Odisha","Cuttack","Urad","Rabi","374.00","364.00","377.00"
"Odisha","Cuttack","Urad","Summer","515.00","672.00","575.00"
"Odisha","Cuttack","Urad","Total","446.00","560.00","521.00"
"Odisha","Cuttack","Moong","Rabi","","384.00","269.00"
"Odisha","Cuttack","Moong","Summer","326.00","603.00","548.00"
"Odisha","Cuttack","Moong","Total","326.00","592.00","539.00"
"Odisha","Cuttack","Other Pulses","Rabi","453.00","341.00","506.00"
"Odisha","Cuttack","Other Pulses","Summer","","459.00","376.00"
"Odisha","Cuttack","Other Pulses","Total","453.00","348.00","497.00"
"Odisha","Cuttack","Total Pulses","Total","343.00","582.00","534.00"
"Odisha","Cuttack","Total Food Grains","Kharif","1500.00","1793.00","1024.00"
"Odisha","Cuttack","Total Food Grains","Rabi","1986.00","3209.00","2177.00"
"Odisha","Cuttack","Total Food Grains","Summer","388.00","729.00","591.00"
"Odisha","Cuttack","Total Food Grains","Total","1641.00","2625.00","1906.00"
"Odisha","Deogarh","Rice","Kharif","1214.00","1284.00","1618.00"
"Odisha","Deogarh","Rice","Rabi","909.00","1797.00","2022.00"
"Odisha","Deogarh","Rice","Summer","","1000.00",""
"Odisha","Deogarh","Rice","Total","1000.00","1554.00","1833.00"
"Odisha","Deogarh","Wheat","Summer","1950.00","",""
"Odisha","Deogarh","Wheat","Total","1950.00","",""
"Odisha","Deogarh","Maize","Kharif","1504.00","1334.00","1507.00"
"Odisha","Deogarh","Maize","Rabi","1350.00","",""
"Odisha","Deogarh","Maize","Summer","2075.00","1789.00",""
"Odisha","Deogarh","Maize","Total","1539.00","1349.00","1507.00"
"Odisha","Deogarh","Ragi","Kharif","","471.00",""
"Odisha","Deogarh","Ragi","Total","","471.00",""
"Odisha","Deogarh","Shree Anna /Nutri Cereals","Kharif","","471.00",""
"Odisha","Deogarh","Shree Anna /Nutri Cereals","Total","","471.00",""
"Odisha","Deogarh","Nutri/Coarse Cereals","Kharif","1504.00","1270.00","1507.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Rabi","1350.00","",""
"Odisha","Deogarh","Nutri/Coarse Cereals","Summer","2075.00","1789.00",""
"Odisha","Deogarh","Nutri/Coarse Cereals","Total","1539.00","1286.00","1507.00"
"Odisha","Deogarh","Cereals","Kharif","1215.00","1284.00","1618.00"
"Odisha","Deogarh","Cereals","Rabi","909.00","1797.00","2022.00"
"Odisha","Deogarh","Cereals","Summer","2033.00","1374.00",""
"Odisha","Deogarh","Cereals","Total","1001.00","1552.00","1832.00"
"Odisha","Deogarh","Urad","Kharif","330.00","354.00","462.00"
"Odisha","Deogarh","Urad","Rabi","","550.00","432.00"
"Odisha","Deogarh","Urad","Summer","300.00","300.00",""
"Odisha","Deogarh","Urad","Total","330.00","355.00","459.00"
"Odisha","Deogarh","Moong","Kharif","342.00","440.00","453.00"
"Odisha","Deogarh","Moong","Rabi","254.00","376.00","428.00"
"Odisha","Deogarh","Moong","Summer","286.00","431.00","455.00"
"Odisha","Deogarh","Moong","Total","293.00","437.00","449.00"
"Odisha","Deogarh","Other Pulses","Rabi","313.00","382.00","428.00"
"Odisha","Deogarh","Other Pulses","Summer","","157.00",""
"Odisha","Deogarh","Other Pulses","Total","313.00","378.00","428.00"
"Odisha","Deogarh","Total Pulses","Total","315.00","404.00","451.00"
"Odisha","Deogarh","Total Food Grains","Kharif","1199.00","1184.00","1527.00"
"Odisha","Deogarh","Total Food Grains","Rabi","905.00","1770.00","1989.00"
"Odisha","Deogarh","Total Food Grains","Summer","382.00","507.00","455.00"
"Odisha","Deogarh","Total Food Grains","Total","992.00","1471.00","1761.00"
"Odisha","Dhenkanal","Rice","Kharif","1200.00","1578.00","1110.00"
"Odisha","Dhenkanal","Rice","Rabi","1617.00","2876.00","1389.00"
"Odisha","Dhenkanal","Rice","Summer","","2615.00","2600.00"
"Odisha","Dhenkanal","Rice","Total","1593.00","2857.00","1386.00"
"Odisha","Dhenkanal","Wheat","Summer","1138.00","","900.00"
"Odisha","Dhenkanal","Wheat","Total","1138.00","","900.00"
"Odisha","Dhenkanal","Maize","Kharif","1174.00","1500.00","1100.00"
"Odisha","Dhenkanal","Maize","Rabi","950.00","","1133.00"
"Odisha","Dhenkanal","Maize","Summer","1425.00","1800.00","1036.00"
"Odisha","Dhenkanal","Maize","Total","1188.00","1609.00","1062.00"
"Odisha","Dhenkanal","Ragi","Kharif","550.00","600.00",""
"Odisha","Dhenkanal","Ragi","Total","550.00","600.00",""
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Kharif","550.00","600.00",""
