"State","District","Crop","Season","Yield-2018-19","Yield-2019-20","Yield-2020-21"
"Odisha","Deogarh","Other Pulses","Kharif","","726.00",""
"Odisha","Deogarh","Other Pulses","Rabi","332.00","702.00","326.00"
"Odisha","Deogarh","Other Pulses","Total","332.00","719.00","326.00"
"Odisha","Deogarh","Total Pulses","Total","319.00","880.00","269.00"
"Odisha","Deogarh","Total Food Grains","Kharif","1443.00","1295.00","2131.00"
"Odisha","Deogarh","Total Food Grains","Rabi","1780.00","1936.00","2429.00"
"Odisha","Deogarh","Total Food Grains","Summer","253.00","366.00","1330.00"
"Odisha","Deogarh","Total Food Grains","Total","1686.00","1738.00","2339.00"
"Odisha","Dhenkanal","Rice","Kharif","1348.00","2070.00","1700.00"
"Odisha","Dhenkanal","Rice","Rabi","3149.00","2763.00","3001.00"
"Odisha","Dhenkanal","Rice","Summer","2214.00","2366.00","3300.00"
"Odisha","Dhenkanal","Rice","Total","3129.00","2756.00","2999.00"
"Odisha","Dhenkanal","Wheat","Summer","","","500.00"
"Odisha","Dhenkanal","Wheat","Total","","","500.00"
"Odisha","Dhenkanal","Maize","Kharif","1220.00","1602.00","1778.00"
"Odisha","Dhenkanal","Maize","Rabi","1240.00","2806.00","1433.00"
"Odisha","Dhenkanal","Maize","Summer","1187.00","3038.00","2123.00"
"Odisha","Dhenkanal","Maize","Total","1207.00","2105.00","1817.00"
"Odisha","Dhenkanal","Ragi","Kharif","","","433.00"
"Odisha","Dhenkanal","Ragi","Total","","","433.00"
"Odisha","Dhenkanal","Small Millets","Kharif","","556.00",""
"Odisha","Dhenkanal","Small Millets","Total","","556.00",""
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Kharif","","556.00","433.00"
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Total","","556.00","433.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Kharif","1220.00","990.00","1442.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Rabi","1240.00","2806.00","1433.00"
