"State","District","Crop","Season","Yield-2013-14","Yield-2014-15"
"Odisha","Deogarh","Nutri/Coarse Cereals","Kharif","1446.00","1626.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Summer","1514.00","2075.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Total","1457.00","1661.00"
"Odisha","Deogarh","Cereals","Kharif","1749.00","2348.00"
"Odisha","Deogarh","Cereals","Rabi","2706.00","3483.00"
"Odisha","Deogarh","Cereals","Summer","2494.00","1925.00"
"Odisha","Deogarh","Cereals","Total","2403.00","3019.00"
"Odisha","Deogarh","Urad","Kharif","314.00","338.00"
"Odisha","Deogarh","Urad","Rabi","300.00","300.00"
"Odisha","Deogarh","Urad","Total","313.00","337.00"
"Odisha","Deogarh","Moong","Kharif","265.00",""
"Odisha","Deogarh","Moong","Rabi","287.00","260.00"
"Odisha","Deogarh","Moong","Summer","334.00","396.00"
"Odisha","Deogarh","Moong","Total","308.00","380.00"
"Odisha","Deogarh","Other Pulses","Rabi","341.00","363.00"
"Odisha","Deogarh","Other Pulses","Total","341.00","363.00"
"Odisha","Deogarh","Total Pulses","Total","324.00","367.00"
"Odisha","Deogarh","Total Food Grains","Kharif","1739.00","2334.00"
"Odisha","Deogarh","Total Food Grains","Rabi","2686.00","3441.00"
"Odisha","Deogarh","Total Food Grains","Summer","2383.00","427.00"
"Odisha","Deogarh","Total Food Grains","Total","2383.00","2970.00"
"Odisha","Dhenkanal","Rice","Kharif","1500.00","2000.00"
"Odisha","Dhenkanal","Rice","Rabi","2705.00","3391.00"
"Odisha","Dhenkanal","Rice","Summer","4000.00",""
"Odisha","Dhenkanal","Rice","Total","2667.00","3306.00"
"Odisha","Dhenkanal","Wheat","Summer","2467.00",""
"Odisha","Dhenkanal","Wheat","Total","2467.00",""
"Odisha","Dhenkanal","Maize","Kharif","1251.00","1267.00"
"Odisha","Dhenkanal","Maize","Rabi","","1305.00"
"Odisha","Dhenkanal","Maize","Summer","1200.00","1933.00"
"Odisha","Dhenkanal","Maize","Total","1250.00","1288.00"
"Odisha","Dhenkanal","Ragi","Kharif","400.00",""
"Odisha","Dhenkanal","Ragi","Total","400.00",""
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Kharif","400.00",""
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Total","400.00",""
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Kharif","1228.00","1267.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Rabi","","1305.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Summer","1200.00","1933.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Total","1227.00","1288.00"
"Odisha","Dhenkanal","Cereals","Kharif","1498.00","1987.00"
"Odisha","Dhenkanal","Cereals","Rabi","2705.00","3391.00"
"Odisha","Dhenkanal","Cereals","Summer","3993.00","1933.00"
"Odisha","Dhenkanal","Cereals","Total","2666.00","3303.00"
"Odisha","Dhenkanal","Urad","Kharif","280.00","300.00"
"Odisha","Dhenkanal","Urad","Rabi","428.00","471.00"
"Odisha","Dhenkanal","Urad","Summer","258.00",""
"Odisha","Dhenkanal","Urad","Total","427.00","471.00"
"Odisha","Dhenkanal","Moong","Kharif","147.00","296.00"
"Odisha","Dhenkanal","Moong","Rabi","372.00","360.00"
"Odisha","Dhenkanal","Moong","Summer","462.00","469.00"
"Odisha","Dhenkanal","Moong","Total","433.00","445.00"
"Odisha","Dhenkanal","Other Pulses","Rabi","415.00","456.00"
"Odisha","Dhenkanal","Other Pulses","Summer","","406.00"
"Odisha","Dhenkanal","Other Pulses","Total","415.00","455.00"
"Odisha","Dhenkanal","Total Pulses","Total","428.00","457.00"
"Odisha","Dhenkanal","Total Food Grains","Kharif","1490.00","1978.00"
"Odisha","Dhenkanal","Total Food Grains","Rabi","2606.00","3273.00"
"Odisha","Dhenkanal","Total Food Grains","Summer","2048.00","470.00"
"Odisha","Dhenkanal","Total Food Grains","Total","2547.00","3136.00"
"Odisha","Gajapati","Rice","Rabi","892.00","1486.00"
"Odisha","Gajapati","Rice","Summer","1000.00",""
"Odisha","Gajapati","Rice","Total","895.00","1486.00"
"Odisha","Gajapati","Maize","Kharif","1142.00","1074.00"
"Odisha","Gajapati","Maize","Summer","","1133.00"
"Odisha","Gajapati","Maize","Total","1142.00","1074.00"
"Odisha","Gajapati","Ragi","Kharif","767.00","718.00"
"Odisha","Gajapati","Ragi","Rabi","800.00","736.00"
"Odisha","Gajapati","Ragi","Summer","743.00","627.00"
"Odisha","Gajapati","Ragi","Total","767.00","717.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Kharif","767.00","718.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Rabi","800.00","736.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Summer","743.00","627.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Total","767.00","717.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Kharif","1111.00","1055.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Rabi","800.00","736.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Summer","743.00","736.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Total","1111.00","1054.00"
"Odisha","Gajapati","Cereals","Kharif","1111.00","1055.00"
"Odisha","Gajapati","Cereals","Rabi","892.00","1486.00"
"Odisha","Gajapati","Cereals","Summer","998.00","736.00"
"Odisha","Gajapati","Cereals","Total","950.00","1357.00"
"Odisha","Gajapati","Urad","Rabi","185.00","192.00"
"Odisha","Gajapati","Urad","Total","185.00","192.00"
"Odisha","Gajapati","Moong","Rabi","228.00","225.00"
"Odisha","Gajapati","Moong","Summer","100.00",""
"Odisha","Gajapati","Moong","Total","228.00","225.00"
"Odisha","Gajapati","Other Pulses","Rabi","200.00","203.00"
"Odisha","Gajapati","Other Pulses","Total","200.00","203.00"
"Odisha","Gajapati","Total Pulses","Total","204.00","208.00"
"Odisha","Gajapati","Total Food Grains","Kharif","1111.00","1055.00"
"Odisha","Gajapati","Total Food Grains","Rabi","799.00","1322.00"
"Odisha","Gajapati","Total Food Grains","Summer","997.00","736.00"
"Odisha","Gajapati","Total Food Grains","Total","874.00","1249.00"
"Odisha","Ganjam","Rice","Kharif","1000.00",""
"Odisha","Ganjam","Rice","Rabi","360.00","2708.00"
"Odisha","Ganjam","Rice","Summer","1000.00","2000.00"
"Odisha","Ganjam","Rice","Total","365.00","2706.00"
"Odisha","Ganjam","Wheat","Summer","","500.00"
"Odisha","Ganjam","Wheat","Total","","500.00"
"Odisha","Ganjam","Maize","Kharif","1791.00","1640.00"
"Odisha","Ganjam","Maize","Rabi","1544.00","4600.00"
"Odisha","Ganjam","Maize","Summer","1979.00","2527.00"
"Odisha","Ganjam","Maize","Total","1797.00","1692.00"
"Odisha","Ganjam","Ragi","Kharif","769.00","928.00"
"Odisha","Ganjam","Ragi","Rabi","1500.00",""
"Odisha","Ganjam","Ragi","Summer","1069.00","938.00"
"Odisha","Ganjam","Ragi","Total","777.00","928.00"
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Kharif","769.00","928.00"
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Rabi","1500.00",""
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Summer","1069.00","938.00"
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Total","777.00","928.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Kharif","1065.00","1087.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Rabi","1527.00","4600.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Summer","1511.00","1307.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Total","1080.00","1100.00"
"Odisha","Ganjam","Cereals","Kharif","1046.00","1087.00"
"Odisha","Ganjam","Cereals","Rabi","360.00","2708.00"
"Odisha","Ganjam","Cereals","Summer","1033.00","1913.00"
"Odisha","Ganjam","Cereals","Total","372.00","2689.00"
"Odisha","Ganjam","Urad","Kharif","113.00","188.00"
"Odisha","Ganjam","Urad","Rabi","225.00","220.00"
"Odisha","Ganjam","Urad","Total","224.00","219.00"
"Odisha","Ganjam","Moong","Kharif","33.00",""
"Odisha","Ganjam","Moong","Rabi","225.00","239.00"
"Odisha","Ganjam","Moong","Summer","433.00","280.00"
"Odisha","Ganjam","Moong","Total","225.00","239.00"
"Odisha","Ganjam","Other Pulses","Rabi","269.00","284.00"
"Odisha","Ganjam","Other Pulses","Total","269.00","284.00"
"Odisha","Ganjam","Total Pulses","Total","226.00","238.00"
"Odisha","Ganjam","Total Food Grains","Kharif","1033.00","1060.00"
"Odisha","Ganjam","Total Food Grains","Rabi","339.00","2308.00"
"Odisha","Ganjam","Total Food Grains","Summer","1030.00","1905.00"
"Odisha","Ganjam","Total Food Grains","Total","350.00","2296.00"
"Odisha","Jagatsinghapur","Rice","Kharif","1000.00","1500.00"
"Odisha","Jagatsinghapur","Rice","Rabi","2013.00","2171.00"
"Odisha","Jagatsinghapur","Rice","Summer","2000.00","4000.00"
"Odisha","Jagatsinghapur","Rice","Total","2000.00","2176.00"
"Odisha","Jagatsinghapur","Maize","Rabi","1600.00",""
"Odisha","Jagatsinghapur","Maize","Summer","1875.00",""
"Odisha","Jagatsinghapur","Maize","Total","1700.00",""
"Odisha","Jagatsinghapur","Ragi","Rabi","","600.00"
"Odisha","Jagatsinghapur","Ragi","Total","","600.00"
"Odisha","Jagatsinghapur","Shree Anna /Nutri Cereals","Rabi","","600.00"
"Odisha","Jagatsinghapur","Shree Anna /Nutri Cereals","Total","","600.00"
"Odisha","Jagatsinghapur","Nutri/Coarse Cereals","Rabi","1600.00","600.00"
"Odisha","Jagatsinghapur","Nutri/Coarse Cereals","Summer","1875.00",""
"Odisha","Jagatsinghapur","Nutri/Coarse Cereals","Total","1700.00","600.00"
"Odisha","Jagatsinghapur","Cereals","Kharif","1000.00","1500.00"
"Odisha","Jagatsinghapur","Cereals","Rabi","2013.00","2171.00"
"Odisha","Jagatsinghapur","Cereals","Summer","2000.00","4000.00"
"Odisha","Jagatsinghapur","Cereals","Total","2000.00","2176.00"
"Odisha","Jagatsinghapur","Urad","Rabi","285.00","439.00"
"Odisha","Jagatsinghapur","Urad","Summer","391.00","431.00"
"Odisha","Jagatsinghapur","Urad","Total","301.00","436.00"
"Odisha","Jagatsinghapur","Moong","Summer","537.00","452.00"
"Odisha","Jagatsinghapur","Moong","Total","537.00","452.00"
"Odisha","Jagatsinghapur","Other Pulses","Rabi","423.00","499.00"
"Odisha","Jagatsinghapur","Other Pulses","Summer","567.00","485.00"
"Odisha","Jagatsinghapur","Other Pulses","Total","423.00","499.00"
